"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJHLDNG","EQ","03-Jan-2019","       2950.10","       2968.30","       2985.00","       2939.95","       2984.00","       2977.25","       2957.22","      25184","            74474615.70","       2793","      17494","         69.46"
"BAJAJHLDNG","EQ","04-Jan-2019","       2977.25","       2960.05","       3000.00","       2948.00","       2955.80","       2951.65","       2957.26","      16159","            47786416.40","       1888","      10798","         66.82"
"BAJAJHLDNG","EQ","07-Jan-2019","       2951.65","       2926.05","       2987.85","       2926.05","       2969.60","       2953.80","       2960.22","       4452","            13178909.35","        938","       2600","         58.40"
"BAJAJHLDNG","EQ","08-Jan-2019","       2953.80","       2953.00","       2978.95","       2950.00","       2956.00","       2955.45","       2958.96","       6335","            18745001.20","       1865","       4066","         64.18"
"BAJAJHLDNG","EQ","09-Jan-2019","       2955.45","       2962.70","       2975.00","       2949.50","       2951.85","       2951.15","       2953.65","       5980","            17662840.45","       1978","       4164","         69.63"
"BAJAJHLDNG","EQ","10-Jan-2019","       2951.15","       2999.00","       3030.00","       2952.35","       2968.10","       2969.95","       3000.68","      14544","            43641958.15","       3439","       6521","         44.84"
"BAJAJHLDNG","EQ","11-Jan-2019","       2969.95","       2970.00","       3030.00","       2950.00","       3020.00","       3007.35","       2981.78","       8073","            24071911.40","       1808","       4829","         59.82"
"BAJAJHLDNG","EQ","14-Jan-2019","       3007.35","       3026.05","       3112.00","       2999.00","       3000.00","       3008.65","       3041.88","      25939","            78903400.45","       5711","      14328","         55.24"
"BAJAJHLDNG","EQ","15-Jan-2019","       3008.65","       3014.05","       3044.80","       2989.95","       2990.00","       2998.35","       3008.33","       7811","            23498077.60","       1845","       5651","         72.35"
"BAJAJHLDNG","EQ","16-Jan-2019","       2998.35","       3000.40","       3018.00","       2950.00","       2953.00","       2958.45","       2975.71","       5828","            17342459.20","       1231","       3730","         64.00"
"BAJAJHLDNG","EQ","17-Jan-2019","       2958.45","       2962.05","       2995.00","       2920.00","       2953.70","       2950.05","       2950.26","      61769","           182234594.75","       2720","      56051","         90.74"
"BAJAJHLDNG","EQ","18-Jan-2019","       2950.05","       2976.95","       2988.00","       2952.10","       2954.75","       2960.40","       2968.32","       5107","            15159187.30","       1140","       2205","         43.18"
"BAJAJHLDNG","EQ","21-Jan-2019","       2960.40","       2955.65","       2999.85","       2951.00","       2959.95","       2961.40","       2977.38","      11792","            35109227.70","       1412","       2759","         23.40"
"BAJAJHLDNG","EQ","22-Jan-2019","       2961.40","       2971.85","       2989.00","       2929.75","       2980.00","       2956.95","       2965.99","      28214","            83682317.60","       2209","       9202","         32.62"
"BAJAJHLDNG","EQ","23-Jan-2019","       2956.95","       2961.20","       2981.00","       2950.00","       2961.15","       2966.65","       2968.01","      17908","            53151210.45","       1696","       3840","         21.44"
"BAJAJHLDNG","EQ","24-Jan-2019","       2966.65","       2971.95","       2977.00","       2931.65","       2938.00","       2939.80","       2950.04","      39805","           117426503.70","       1923","      34291","         86.15"
"BAJAJHLDNG","EQ","25-Jan-2019","       2939.80","       2968.95","       2968.95","       2860.00","       2860.00","       2861.80","       2897.84","      11730","            33991685.35","       2254","       6132","         52.28"
"BAJAJHLDNG","EQ","28-Jan-2019","       2861.80","       2860.00","       2909.95","       2821.00","       2873.00","       2853.50","       2865.98","      28941","            82944430.95","       3058","      23540","         81.34"
"BAJAJHLDNG","EQ","29-Jan-2019","       2853.50","       2855.00","       2855.00","       2825.00","       2849.00","       2844.90","       2842.82","      52299","           148676581.50","       3924","      47828","         91.45"
"BAJAJHLDNG","EQ","30-Jan-2019","       2844.90","       2847.80","       2894.60","       2841.30","       2850.00","       2852.65","       2855.13","      10198","            29116605.10","       1959","       6077","         59.59"
"BAJAJHLDNG","EQ","31-Jan-2019","       2852.65","       2836.05","       2879.70","       2815.00","       2848.80","       2847.05","       2852.81","      28439","            81130995.00","       1902","      24545","         86.31"
"BAJAJHLDNG","EQ","01-Feb-2019","       2847.05","       2850.00","       2925.95","       2850.00","       2865.00","       2865.90","       2867.65","      16406","            47046621.25","       2889","      11983","         73.04"
"BAJAJHLDNG","EQ","04-Feb-2019","       2865.90","       2856.50","       3050.00","       2856.50","       2977.00","       2993.50","       2988.65","     583619","          1744231063.45","       6505","     504949","         86.52"
"BAJAJHLDNG","EQ","05-Feb-2019","       2993.50","       2988.00","       3085.25","       2904.05","       2928.00","       2928.60","       2966.48","      13382","            39697451.45","       2275","       4116","         30.76"
"BAJAJHLDNG","EQ","06-Feb-2019","       2928.60","       2924.10","       3005.00","       2924.10","       2991.55","       2994.25","       2984.77","      86499","           258179686.30","       3660","      76392","         88.32"
"BAJAJHLDNG","EQ","07-Feb-2019","       2994.25","       2986.70","       3179.95","       2986.65","       3130.00","       3116.85","       3101.27","     550055","          1705866406.25","       6842","     511803","         93.05"
"BAJAJHLDNG","EQ","08-Feb-2019","       3116.85","       3120.00","       3178.85","       3099.65","       3159.75","       3131.50","       3147.89","      16906","            53218197.35","       3744","       7694","         45.51"
